Countries and areas,Total,Male,Female
,,,
Afghanistan,44,42,45
Albania,18,17,18
Algeria,52,48,55
Andorra,-,-,-
Angola,-,-,-
Anguilla,26,22,30
Antigua and Barbuda,25,24,27
Argentina,25,25,24
Armenia,17,19,15
Australia,34,-,-
Austria,21,20,21
Azerbaijan,26,25,26
Bahamas,24,25,22
Bahrain,29,36,23
Bangladesh,24,27,17
Barbados,13,15,11
Belarus,-,-,-
Belgium,17,16,18
Belize,31,30,31
Benin,49,47,52
Bhutan,30,31,29
Bolivia (Plurinational State of),30,32,28
Bosnia and Herzegovina,25,-,-
Botswana,52,53,52
Brazil,43,-,-
British Virgin Islands,17,18,17
Brunei Darussalam,23,25,22
Bulgaria,34,35,33
Burkina Faso,-,-,-
Burundi,-,-,-
Cabo Verde,-,-,-
Cambodia,22,23,22
Cameroon,-,-,-
Canada,38,36,40
Central African Republic,-,-,-
Chad,-,-,-
Chile,15,16,14
China,-,-,-
Colombia,-,-,-
Comoros,-,-,-
Congo,-,-,-
Cook Islands,31,29,32
Costa Rica,19,18,20
Côte d'Ivoire,-,-,-
Croatia,22,23,21
Cuba,13,-,-
Cyprus,-,-,-
Czechia,18,17,19
Democratic People's Republic of Korea,-,-,-
Democratic Republic of the Congo,-,-,-
Denmark,13,12,15
Djibouti,41,44,36
Dominica,27,29,26
Dominican Republic,24,26,22
Ecuador,44,-,-
Egypt,70,70,70
El Salvador,23,21,24
Equatorial Guinea,-,-,-
Eritrea,-,-,-
Estonia,30,30,30
Eswatini,32,33,31
Ethiopia,-,-,-
Fiji,30,33,26
Finland,26,27,24
France,14,13,16
Gabon,-,-,-
Gambia,-,-,-
Georgia,19,17,20
Germany,21,21,21
Ghana,62,-,-
Greece,20,18,21
Grenada,27,29,26
Guatemala,23,26,20
Guinea,-,-,-
Guinea-Bissau,-,-,-
Guyana,38,40,37
Haiti,-,-,-
Holy See,-,-,-
Honduras,-,13,12
Hungary,28,27,28
Iceland,12,12,11
India,-,-,-
Indonesia,21,24,19
Iran (Islamic Republic of),-,-,-
Iraq,28,32,22
Ireland,32,32,32
Israel,24,29,18
Italy,12,11,12
Jamaica,26,26,25
Japan,18,-,-
Jordan,41,46,37
Kazakhstan,16,15,16
Kenya,57,57,57
Kiribati,37,42,32
Kuwait,32,36,28
Kyrgyzstan,-,-,-
Lao People's Democratic Republic,13,15,11
Latvia,47,44,49
Lebanon,18,24,12
Lesotho,-,-,-
Liberia,47,43,51
Libya,35,40,31
Liechtenstein,-,-,-
Lithuania,51,51,51
Luxembourg,22,21,23
Madagascar,-,-,-
Malawi,45,43,47
Malaysia,16,19,14
Maldives,30,30,30
Mali,-,-,-
Malta,25,29,21
Marshall Islands,-,-,-
Mauritania,47,48,46
Mauritius,25,29,22
Mexico,33,-,-
Micronesia (Federated States of),-,-,-
Monaco,-,-,-
Mongolia,31,36,25
Montenegro,-,-,-
Montserrat,28,32,25
Morocco,38,44,32
Mozambique,45,45,46
Myanmar,50,51,49
Namibia,47,48,45
Nauru,39,40,38
Nepal,51,56,45
Netherlands,12,12,12
New Zealand,35,-,-
Nicaragua,43,-,-
Niger,-,-,-
Nigeria,-,-,-
Niue,36,38,-
North Macedonia,18,18,18
Norway,15,16,14
Oman,42,45,39
Pakistan,41,45,35
Palau,-,-,-
Panama,44,-,-
Papua New Guinea,-,-,-
Paraguay,17,19,15
Peru,47,47,48
Philippines,51,53,49
Poland,21,23,18
Portugal,18,17,19
Qatar,42,49,35
Republic of Korea,15,-,-
Republic of Moldova,44,43,44
Romania,30,31,30
Russian Federation,33,31,35
Rwanda,-,-,-
Saint Kitts and Nevis,23,25,20
Saint Lucia,27,24,29
Saint Vincent and the Grenadines,30,31,29
Samoa,38,43,34
San Marino,-,-,-
Sao Tome and Principe,-,-,-
Saudi Arabia,27,-,-
Senegal,-,-,-
Serbia,18,17,19
Seychelles,47,45,50
Sierra Leone,59,60,57
Singapore,36,-,-
Slovakia,19,20,19
Slovenia,25,26,23
Solomon Islands,67,64,68
Somalia,-,-,-
South Africa,47,-,-
South Sudan,-,-,-
Spain,10,10,9
Sri Lanka,39,50,29
State of Palestine,-,-,-
Sudan,-,-,-
Suriname,25,25,25
Sweden,18,18,19
Switzerland,16,14,18
Syrian Arab Republic,-,-,-
Tajikistan,7,7,7
Thailand,33,38,28
Timor-Leste,31,39,25
Togo,-,-,-
Tokelau,41,39,39
Tonga,38,46,31
Trinidad and Tobago,16,13,18
Tunisia,31,37,24
Turkey,36,39,33
Turkmenistan,-,-,-
Turks and Caicos Islands,-,-,-
Tuvalu,27,40,15
Uganda,46,50,41
Ukraine,40,40,41
United Arab Emirates,27,33,22
United Kingdom,37,38,37
United Republic of Tanzania,27,25,28
United States,26,26,25
Uruguay,19,18,20
Uzbekistan,-,-,-
Vanuatu,53,60,46
Venezuela (Bolivarian Republic of),-,-,-
Viet Nam,26,26,26
Yemen,42,47,33
Zambia,65,63,67
Zimbabwe,-,-,-